Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,1469.000000,1469.500000,1456.199951,1458.900024,1457.367676,829929
2023-06-06,1466.500000,1478.900024,1463.099976,1475.099976,1473.550659,1472972
2023-06-07,1483.000000,1483.199951,1472.000000,1480.900024,1479.344604,837622
2023-06-08,1483.000000,1485.000000,1463.000000,1467.400024,1465.858765,722068
2023-06-09,1471.000000,1476.000000,1461.550049,1466.500000,1464.959717,499104
2023-06-12,1473.000000,1473.000000,1461.949951,1466.000000,1464.460205,465964
2023-06-13,1470.000000,1492.000000,1470.000000,1486.199951,1484.639038,1205104
2023-06-14,1490.000000,1491.900024,1469.000000,1480.400024,1478.845215,763762
2023-06-15,1479.949951,1482.000000,1469.599976,1474.699951,1473.151001,853566
2023-06-16,1479.000000,1515.000000,1474.699951,1508.599976,1507.015503,2090874
2023-06-19,1522.949951,1553.300049,1516.650024,1541.949951,1540.330444,3446484
2023-06-20,1543.199951,1543.199951,1502.150024,1521.050049,1519.452515,1943763
2023-06-21,1525.900024,1535.000000,1513.250000,1519.250000,1517.654297,799052
2023-06-22,1523.000000,1527.199951,1504.849976,1507.650024,1506.066528,966522
2023-06-23,1507.500000,1519.699951,1483.949951,1501.949951,1500.372437,1237464
2023-06-26,1504.449951,1510.849976,1487.199951,1507.550049,1505.966675,647496
2023-06-27,1512.000000,1527.349976,1503.000000,1522.949951,1521.350342,763062
2023-06-28,1522.949951,1522.949951,1522.949951,1522.949951,1521.350342,0
2023-06-30,1521.000000,1536.599976,1519.000000,1528.000000,1528.000000,934639
2023-07-03,1528.000000,1544.500000,1526.599976,1540.099976,1540.099976,1068533
2023-07-04,1565.099976,1634.949951,1565.099976,1629.500000,1629.500000,7337423
2023-07-05,1631.000000,1642.000000,1607.550049,1613.699951,1613.699951,2006206
2023-07-06,1615.050049,1624.000000,1607.000000,1619.900024,1619.900024,937466
