Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,2169.949951,2183.800049,2146.800049,2170.649902,2161.279785,51345
2023-06-06,2184.000000,2184.000000,2155.000000,2170.850098,2161.479004,33994
2023-06-07,2170.850098,2178.350098,2157.000000,2168.899902,2159.537354,34525
2023-06-08,2164.000000,2197.050049,2164.000000,2177.850098,2168.448975,59112
2023-06-09,2177.850098,2188.750000,2150.100098,2156.350098,2147.041748,27185
2023-06-12,2160.050049,2183.949951,2149.000000,2166.550049,2157.197510,35389
2023-06-13,2169.899902,2222.899902,2163.750000,2196.850098,2187.366943,76087
2023-06-14,2225.000000,2250.000000,2201.899902,2241.600098,2231.923584,82724
2023-06-15,2255.000000,2275.000000,2229.250000,2249.199951,2239.490723,69468
2023-06-16,2257.899902,2273.000000,2243.100098,2261.149902,2251.389160,46560
2023-06-19,2284.600098,2391.000000,2266.050049,2369.449951,2359.221680,172447
2023-06-20,2371.050049,2445.949951,2371.050049,2437.550049,2427.027832,177515
2023-06-21,2450.050049,2458.899902,2385.000000,2400.649902,2390.286865,82944
2023-06-22,2370.050049,2395.449951,2325.050049,2338.350098,2328.256104,59183
2023-06-23,2349.899902,2355.000000,2275.800049,2289.100098,2279.218750,49964
2023-06-26,2304.050049,2304.050049,2239.000000,2252.850098,2243.125000,48547
2023-06-27,2265.000000,2329.000000,2259.350098,2321.000000,2310.980713,74235
2023-06-28,2321.000000,2321.000000,2321.000000,2321.000000,2310.980713,0
2023-06-30,2352.449951,2358.000000,2310.000000,2316.550049,2306.550049,40880
2023-07-03,2329.000000,2350.000000,2300.000000,2302.600098,2302.600098,51119
2023-07-04,2315.000000,2315.000000,2275.000000,2286.199951,2286.199951,39237
2023-07-05,2286.199951,2301.800049,2263.000000,2278.199951,2278.199951,33103
2023-07-06,2281.000000,2299.149902,2270.050049,2290.000000,2290.000000,34211
