Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,2541.449951,2559.949951,2490.000000,2519.449951,2519.449951,20161
2023-06-06,2519.449951,2532.600098,2489.899902,2515.850098,2515.850098,10811
2023-06-07,2528.449951,2558.000000,2512.750000,2549.750000,2549.750000,25255
2023-06-08,2549.750000,2609.899902,2542.600098,2573.399902,2573.399902,122608
2023-06-09,2598.000000,2620.000000,2551.649902,2558.600098,2558.600098,16237
2023-06-12,2557.000000,2588.899902,2544.050049,2582.850098,2582.850098,38625
2023-06-13,2601.000000,2618.000000,2570.050049,2584.050049,2584.050049,9447
2023-06-14,2584.050049,2596.949951,2552.000000,2574.500000,2574.500000,6384
2023-06-15,2572.000000,2581.949951,2518.199951,2569.899902,2569.899902,19536
2023-06-16,2579.000000,2595.000000,2550.300049,2577.300049,2577.300049,14209
2023-06-19,2577.300049,2610.000000,2554.000000,2562.300049,2562.300049,22580
2023-06-20,2560.000000,2604.949951,2552.300049,2599.649902,2599.649902,18443
2023-06-21,2605.000000,2679.949951,2590.050049,2604.649902,2604.649902,27998
2023-06-22,2603.000000,2618.399902,2571.250000,2581.699951,2581.699951,19244
2023-06-23,2582.000000,2583.000000,2542.100098,2570.250000,2570.250000,8634
2023-06-26,2555.000000,2605.600098,2551.500000,2571.899902,2571.899902,28060
2023-06-27,2564.000000,2609.949951,2557.149902,2595.649902,2595.649902,11732
2023-06-28,null,null,null,null,null,null
2023-06-30,2633.000000,2648.850098,2599.000000,2623.399902,2623.399902,65287
2023-07-03,2639.649902,2664.899902,2616.350098,2621.949951,2621.949951,13630
2023-07-04,2621.000000,2643.000000,2610.050049,2624.899902,2624.899902,11454
2023-07-05,2609.100098,2643.500000,2580.000000,2593.050049,2593.050049,14353
2023-07-06,2587.000000,2624.899902,2584.000000,2600.699951,2600.699951,7970
