Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,230.100006,231.000000,221.500000,223.399994,223.399994,3838
2023-06-06,223.500000,232.899994,221.000000,225.300003,225.300003,5310
2023-06-07,230.000000,230.000000,225.000000,225.699997,225.699997,5095
2023-06-08,227.899994,228.250000,221.000000,222.699997,222.699997,8841
2023-06-09,227.699997,229.300003,221.949997,223.000000,223.000000,2934
2023-06-12,224.949997,230.000000,223.600006,227.750000,227.750000,4643
2023-06-13,226.899994,239.899994,223.100006,239.000000,239.000000,7000
2023-06-14,243.000000,260.000000,237.100006,256.299988,256.299988,18817
2023-06-15,256.299988,257.950012,242.100006,245.300003,245.300003,11847
2023-06-16,242.550003,255.649994,242.550003,251.600006,251.600006,12000
2023-06-19,251.550003,289.000000,243.350006,260.850006,260.850006,77234
2023-06-20,259.700012,263.799988,247.500000,256.350006,256.350006,12352
2023-06-21,251.399994,258.549988,247.000000,250.399994,250.399994,5165
2023-06-22,255.000000,255.000000,239.000000,240.550003,240.550003,7939
2023-06-23,242.550003,246.250000,232.600006,237.350006,237.350006,2076
2023-06-26,242.100006,242.100006,228.649994,232.250000,232.250000,2685
2023-06-27,231.550003,239.449997,231.100006,236.800003,236.800003,2503
2023-06-28,null,null,null,null,null,null
2023-06-30,237.500000,247.899994,226.000000,230.699997,230.699997,10356
2023-07-03,235.000000,235.000000,225.949997,229.350006,229.350006,5951
2023-07-04,229.000000,264.000000,228.750000,255.050003,255.050003,46015
2023-07-05,265.000000,265.000000,236.649994,243.250000,243.250000,25059
2023-07-06,248.949997,249.449997,242.250000,244.250000,244.250000,3811
