Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,382.299988,385.000000,378.000000,381.899994,381.146332,247742
2023-06-06,381.700012,383.000000,375.600006,380.149994,379.399780,167562
2023-06-07,381.049988,383.649994,378.500000,380.049988,379.299988,377157
2023-06-08,382.250000,393.600006,378.850006,389.250000,389.250000,1216057
2023-06-09,390.700012,401.500000,388.750000,396.500000,396.500000,671826
2023-06-12,396.350006,417.500000,389.799988,414.149994,414.149994,1299769
2023-06-13,418.399994,419.000000,408.100006,416.049988,416.049988,867606
2023-06-14,417.000000,421.049988,409.000000,415.399994,415.399994,304059
2023-06-15,415.700012,416.899994,409.100006,413.250000,413.250000,232652
2023-06-16,413.250000,416.700012,405.000000,409.250000,409.250000,136075
2023-06-19,410.000000,416.450012,405.200012,415.200012,415.200012,196769
2023-06-20,416.399994,417.000000,409.899994,416.149994,416.149994,176327
2023-06-21,418.000000,419.950012,407.600006,409.950012,409.950012,103073
2023-06-22,410.950012,425.000000,406.399994,422.299988,422.299988,525295
2023-06-23,428.399994,432.399994,416.049988,426.799988,426.799988,459208
2023-06-26,429.899994,431.000000,416.649994,419.500000,419.500000,161177
2023-06-27,420.899994,440.000000,414.000000,429.100006,429.100006,505952
2023-06-28,429.100006,429.100006,429.100006,429.100006,429.100006,0
2023-06-30,422.899994,426.000000,416.500000,417.799988,417.799988,312583
2023-07-03,419.799988,420.899994,408.100006,408.899994,408.899994,267127
2023-07-04,411.600006,414.350006,403.299988,408.899994,408.899994,297868
2023-07-05,409.000000,411.899994,405.000000,409.750000,409.750000,143985
2023-07-06,412.000000,418.000000,410.250000,415.799988,415.799988,210662
