Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,156.899994,159.000000,155.550003,156.750000,156.750000,89727
2023-06-06,156.850006,157.949997,153.149994,154.300003,154.300003,121828
2023-06-07,156.000000,156.000000,152.550003,152.850006,152.850006,126592
2023-06-08,154.750000,154.750000,149.100006,149.449997,149.449997,238543
2023-06-09,150.000000,150.850006,147.000000,147.399994,147.399994,103030
2023-06-12,149.300003,149.649994,144.800003,146.850006,146.850006,180618
2023-06-13,147.000000,148.050003,144.000000,147.000000,147.000000,156589
2023-06-14,148.500000,158.149994,146.399994,155.500000,155.500000,607013
2023-06-15,156.899994,156.899994,149.500000,150.399994,150.399994,175842
2023-06-16,151.850006,155.699997,151.000000,153.550003,153.550003,147198
2023-06-19,155.500000,164.699997,151.850006,163.550003,163.550003,465069
2023-06-20,164.050003,165.800003,160.100006,161.800003,161.800003,245822
2023-06-21,162.699997,177.000000,161.300003,171.100006,171.100006,866859
2023-06-22,172.899994,173.050003,162.850006,167.750000,167.750000,283022
2023-06-23,167.000000,168.199997,162.350006,163.600006,163.600006,163750
2023-06-26,163.600006,165.500000,160.649994,163.550003,163.550003,90809
2023-06-27,163.949997,165.000000,160.899994,161.899994,161.899994,64438
2023-06-28,161.899994,161.899994,161.899994,161.899994,161.899994,0
2023-06-30,163.000000,164.250000,159.000000,160.050003,160.050003,165589
2023-07-03,160.399994,165.899994,157.699997,162.350006,162.350006,158045
2023-07-04,164.399994,164.800003,160.500000,161.449997,161.449997,77563
2023-07-05,162.000000,162.000000,136.000000,158.300003,158.300003,420927
2023-07-06,158.300003,161.100006,158.300003,158.899994,158.899994,44334
