Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,6.600000,6.600000,6.600000,6.600000,6.600000,0
2023-06-06,6.300000,6.300000,6.300000,6.300000,6.300000,1
2023-06-07,6.000000,6.000000,6.000000,6.000000,6.000000,1
2023-06-08,6.000000,6.000000,6.000000,6.000000,6.000000,0
2023-06-09,6.000000,6.000000,6.000000,6.000000,6.000000,0
2023-06-12,6.000000,6.000000,6.000000,6.000000,6.000000,0
2023-06-13,5.700000,6.000000,5.700000,5.900000,5.900000,6008
2023-06-14,5.700000,6.150000,5.600000,5.950000,5.950000,14494
2023-06-15,6.050000,6.200000,5.950000,6.200000,6.200000,4363
2023-06-16,6.500000,6.500000,6.350000,6.500000,6.500000,5315
2023-06-19,6.650000,6.750000,6.200000,6.250000,6.250000,3407
2023-06-20,5.950000,6.450000,5.950000,6.000000,6.000000,3288
2023-06-21,6.000000,6.300000,6.000000,6.300000,6.300000,2868
2023-06-22,6.600000,6.600000,6.600000,6.600000,6.600000,1512
2023-06-23,6.900000,6.900000,6.900000,6.900000,6.900000,1499
2023-06-26,7.200000,7.200000,7.200000,7.200000,7.200000,2642
2023-06-27,7.550000,7.550000,6.850000,6.850000,6.850000,508
2023-06-28,null,null,null,null,null,null
2023-06-30,6.850000,6.850000,6.850000,6.850000,6.850000,0
2023-07-03,6.850000,6.850000,6.850000,6.850000,6.850000,0
2023-07-04,6.850000,6.850000,6.850000,6.850000,6.850000,0
2023-07-05,6.850000,6.850000,6.850000,6.850000,6.850000,0
2023-07-06,6.850000,6.850000,6.850000,6.850000,6.850000,0
