Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,18752.199219,18970.000000,18732.500000,18872.650391,18872.650391,20032
2023-06-06,18935.000000,18940.099609,18813.050781,18879.550781,18879.550781,8268
2023-06-07,18900.000000,19123.400391,18881.199219,18973.599609,18973.599609,13222
2023-06-08,18973.599609,19061.199219,18728.400391,18766.900391,18766.900391,10888
2023-06-09,18801.000000,18943.949219,18720.000000,18758.400391,18758.400391,6743
2023-06-12,18774.900391,19038.949219,18738.949219,18994.800781,18994.800781,23105
2023-06-13,18990.000000,19284.800781,18970.000000,19060.099609,19060.099609,27247
2023-06-14,19060.099609,19348.000000,19023.500000,19072.300781,19072.300781,9755
2023-06-15,19073.000000,19283.000000,18987.449219,19024.349609,19024.349609,9818
2023-06-16,19149.900391,19198.000000,18880.050781,18995.650391,18995.650391,23506
2023-06-19,18997.000000,19165.199219,18913.599609,18943.699219,18943.699219,7450
2023-06-20,18999.000000,19149.550781,18806.250000,19058.650391,19058.650391,18548
2023-06-21,19100.050781,19449.900391,19070.150391,19201.699219,19201.699219,40492
2023-06-22,19315.000000,19329.849609,18752.050781,18879.300781,18879.300781,18492
2023-06-23,18879.300781,18959.699219,18490.050781,18616.949219,18616.949219,30239
2023-06-26,18617.050781,18798.699219,18530.000000,18588.400391,18588.400391,10300
2023-06-27,18618.000000,18724.400391,18485.000000,18572.599609,18572.599609,10360
2023-06-28,18572.599609,18572.599609,18572.599609,18572.599609,18572.599609,0
2023-06-30,18721.449219,19250.000000,18721.449219,19042.349609,19042.349609,32352
2023-07-03,19100.050781,19251.000000,18903.000000,19016.050781,19016.050781,16376
2023-07-04,19133.000000,19279.949219,18932.000000,19053.599609,19053.599609,18105
2023-07-05,19100.000000,19275.000000,19021.000000,19162.550781,19162.550781,44656
2023-07-06,19294.750000,19598.000000,19166.150391,19514.849609,19514.849609,46120
