Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,571.200012,574.200012,560.200012,570.700012,570.700012,107321
2023-06-06,573.700012,583.000000,569.450012,574.400024,574.400024,293528
2023-06-07,575.549988,577.000000,562.299988,574.049988,574.049988,101151
2023-06-08,574.650024,574.650024,552.150024,559.049988,559.049988,86606
2023-06-09,556.000000,557.250000,547.200012,548.400024,548.400024,219774
2023-06-12,552.000000,567.950012,546.150024,565.099976,565.099976,104102
2023-06-13,568.000000,586.700012,565.200012,579.049988,579.049988,577579
2023-06-14,581.049988,585.000000,572.299988,578.099976,578.099976,192002
2023-06-15,582.950012,595.000000,574.549988,593.900024,593.900024,347690
2023-06-16,594.000000,594.950012,577.099976,581.400024,581.400024,141545
2023-06-19,588.000000,607.650024,581.000000,596.700012,596.700012,409285
2023-06-20,596.700012,597.900024,584.000000,586.250000,586.250000,130521
2023-06-21,587.000000,593.000000,580.099976,586.500000,586.500000,59684
2023-06-22,589.450012,591.599976,575.000000,580.450012,580.450012,80108
2023-06-23,577.650024,579.950012,561.200012,565.450012,565.450012,119703
2023-06-26,565.000000,584.799988,559.099976,577.799988,577.799988,103467
2023-06-27,580.000000,588.900024,568.900024,584.900024,584.900024,200632
2023-06-28,584.900024,584.900024,584.900024,584.900024,584.900024,0
2023-06-30,586.900024,589.799988,571.000000,575.200012,575.200012,117470
2023-07-03,573.000000,581.349976,556.250000,562.400024,562.400024,131007
2023-07-04,568.000000,576.049988,563.150024,566.250000,566.250000,71971
2023-07-05,569.099976,570.000000,553.000000,559.150024,559.150024,122089
2023-07-06,561.950012,564.849976,550.099976,557.099976,557.099976,269785
