Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,166.000000,166.000000,153.750000,155.449997,155.449997,13610
2023-06-06,157.550003,159.899994,154.149994,159.149994,159.149994,7928
2023-06-07,159.949997,159.949997,151.199997,157.850006,157.850006,5214
2023-06-08,152.000000,156.850006,149.949997,151.050003,151.050003,41013
2023-06-09,158.000000,158.600006,150.000000,152.699997,152.699997,40468
2023-06-12,154.850006,159.000000,148.250000,154.500000,154.500000,31572
2023-06-13,151.500000,154.449997,146.800003,147.399994,147.399994,33758
2023-06-14,154.500000,154.500000,143.899994,144.600006,144.600006,2399
2023-06-15,146.000000,148.000000,137.399994,138.550003,138.550003,3698
2023-06-16,135.000000,145.000000,131.649994,144.949997,144.949997,26301
2023-06-19,144.899994,152.149994,140.000000,152.000000,152.000000,18604
2023-06-20,150.000000,156.000000,145.000000,147.699997,147.699997,61800
2023-06-21,152.899994,152.899994,140.350006,142.500000,142.500000,28828
2023-06-22,140.100006,146.000000,140.100006,141.350006,141.350006,923
2023-06-23,146.000000,146.000000,140.000000,140.050003,140.050003,34699
2023-06-26,140.500000,145.000000,140.500000,144.000000,144.000000,359
2023-06-27,144.000000,146.300003,140.899994,142.149994,142.149994,1408
2023-06-28,null,null,null,null,null,null
2023-06-30,143.500000,143.500000,136.350006,139.100006,139.100006,54254
2023-07-03,140.000000,140.100006,132.149994,139.000000,139.000000,20872
2023-07-04,139.000000,141.500000,132.050003,132.649994,132.649994,3528
2023-07-05,136.000000,136.000000,126.050003,128.699997,128.699997,55714
2023-07-06,125.000000,130.000000,125.000000,128.000000,128.000000,2898
