Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,38.200001,38.700001,37.799999,38.099998,38.099998,52029
2023-06-06,38.150002,41.900002,37.099998,41.900002,41.900002,455037
2023-06-07,41.000000,41.849998,39.799999,40.099998,40.099998,80892
2023-06-08,40.900002,41.650002,38.500000,39.549999,39.549999,30355
2023-06-09,41.500000,41.500000,37.599998,38.299999,38.299999,44479
2023-06-12,37.500000,40.000000,36.549999,36.750000,36.750000,29864
2023-06-13,36.950001,37.000000,35.500000,36.500000,36.500000,34699
2023-06-14,36.900002,37.500000,36.000000,37.049999,37.049999,15246
2023-06-15,36.599998,37.500000,35.250000,36.400002,36.400002,24387
2023-06-16,37.849998,37.849998,36.150002,36.950001,36.950001,13219
2023-06-19,37.000000,37.500000,36.000000,36.150002,36.150002,18823
2023-06-20,36.000000,36.750000,35.450001,36.400002,36.400002,279417
2023-06-21,37.150002,37.200001,35.599998,36.299999,36.299999,19471
2023-06-22,36.000000,36.900002,35.000000,35.250000,35.250000,22648
2023-06-23,34.500000,35.650002,34.099998,34.549999,34.549999,8398
2023-06-26,34.099998,35.200001,34.099998,34.500000,34.500000,15898
2023-06-27,34.700001,35.000000,33.700001,34.700001,34.700001,12020
2023-06-28,null,null,null,null,null,null
2023-06-30,34.900002,35.000000,33.500000,34.799999,34.799999,246328
2023-07-03,35.000000,36.349998,35.000000,35.799999,35.799999,22175
2023-07-04,37.400002,37.400002,34.500000,35.500000,35.500000,14889
2023-07-05,35.500000,35.900002,34.250000,35.049999,35.049999,6732
2023-07-06,35.099998,35.950001,34.200001,35.049999,35.049999,16568
