Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,641.049988,644.900024,624.049988,627.049988,627.049988,115789
2023-06-06,636.849976,675.950012,629.500000,667.450012,667.450012,340024
2023-06-07,678.000000,691.400024,667.549988,677.950012,677.950012,297331
2023-06-08,678.000000,688.400024,652.400024,657.150024,657.150024,131023
2023-06-09,663.700012,663.750000,644.049988,646.799988,646.799988,74433
2023-06-12,650.900024,663.450012,645.000000,654.849976,654.849976,75625
2023-06-13,660.000000,670.750000,654.000000,663.599976,663.599976,170075
2023-06-14,670.000000,678.299988,661.049988,664.750000,664.750000,117744
2023-06-15,667.750000,667.900024,657.450012,659.150024,659.150024,56160
2023-06-16,664.400024,694.000000,660.250000,682.099976,682.099976,480479
2023-06-19,682.000000,704.750000,675.650024,701.000000,701.000000,331332
2023-06-20,707.750000,711.900024,675.000000,680.250000,680.250000,240860
2023-06-21,685.000000,686.000000,661.150024,664.849976,664.849976,204311
2023-06-22,667.650024,676.200012,652.000000,654.450012,654.450012,130498
2023-06-23,656.900024,659.950012,645.549988,654.049988,654.049988,56861
2023-06-26,666.000000,673.700012,648.000000,670.349976,670.349976,70623
2023-06-27,672.000000,672.549988,643.000000,648.500000,648.500000,250152
2023-06-28,648.500000,648.500000,648.500000,648.500000,648.500000,0
2023-06-30,650.000000,666.000000,649.049988,660.299988,660.299988,151379
2023-07-03,664.400024,665.400024,650.450012,654.500000,654.500000,63154
2023-07-04,658.299988,663.900024,648.650024,658.549988,658.549988,80191
2023-07-05,655.150024,665.400024,652.500000,655.349976,655.349976,48787
2023-07-06,658.400024,660.950012,651.349976,656.599976,656.599976,30632
