Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,136.899994,137.699997,135.000000,136.000000,136.000000,39961
2023-06-06,136.750000,141.850006,134.199997,136.050003,136.050003,165377
2023-06-07,136.600006,138.800003,135.500000,137.600006,137.600006,56084
2023-06-08,138.050003,139.449997,135.149994,135.600006,135.600006,27026
2023-06-09,136.350006,137.800003,133.199997,136.250000,136.250000,34454
2023-06-12,138.300003,138.500000,135.399994,136.300003,136.300003,96050
2023-06-13,136.300003,136.750000,133.899994,134.149994,134.149994,53731
2023-06-14,135.500000,136.500000,133.750000,135.649994,135.649994,37950
2023-06-15,137.500000,137.500000,134.100006,135.000000,135.000000,23739
2023-06-16,135.050003,136.699997,134.149994,134.800003,134.800003,18600
2023-06-19,135.000000,136.699997,134.350006,135.300003,135.300003,187506
2023-06-20,136.699997,136.699997,133.500000,133.649994,133.649994,29941
2023-06-21,134.500000,136.350006,129.050003,130.300003,130.300003,76444
2023-06-22,131.050003,132.199997,129.350006,130.000000,130.000000,31075
2023-06-23,130.000000,133.250000,124.449997,129.000000,129.000000,77304
2023-06-26,126.250000,129.899994,122.349998,125.099998,125.099998,67877
2023-06-27,125.500000,127.949997,124.449997,126.150002,126.150002,23381
2023-06-28,126.150002,126.150002,126.150002,126.150002,126.150002,0
2023-06-30,125.650002,141.750000,125.500000,134.250000,134.250000,310524
2023-07-03,135.300003,147.399994,133.600006,142.199997,142.199997,486401
2023-07-04,143.399994,151.550003,138.100006,140.399994,140.399994,318137
2023-07-05,141.500000,148.949997,140.500000,148.149994,148.149994,241076
2023-07-06,152.500000,177.750000,151.149994,177.750000,177.750000,2416993
