Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,309.000000,333.450012,305.100006,330.500000,330.500000,90796
2023-06-06,345.000000,345.000000,304.000000,320.250000,320.250000,101330
2023-06-07,324.000000,324.000000,304.500000,323.399994,323.399994,12441
2023-06-08,328.950012,333.000000,310.000000,330.200012,330.200012,43462
2023-06-09,330.100006,330.100006,313.700012,316.000000,316.000000,11817
2023-06-12,324.000000,325.000000,306.299988,324.299988,324.299988,17389
2023-06-13,323.950012,325.000000,308.100006,320.899994,320.899994,32586
2023-06-14,325.000000,336.899994,324.000000,336.450012,336.450012,69743
2023-06-15,340.000000,353.250000,337.000000,353.250000,353.250000,35867
2023-06-16,370.750000,370.750000,340.049988,347.600006,347.600006,31339
2023-06-19,349.950012,349.950012,330.250000,330.250000,330.250000,31906
2023-06-20,340.500000,340.500000,313.750000,317.799988,317.799988,27160
2023-06-21,306.600006,325.600006,306.000000,321.799988,321.799988,325819
2023-06-22,330.000000,336.799988,327.500000,330.350006,330.350006,41859
2023-06-23,338.950012,338.950012,314.100006,314.850006,314.850006,23940
2023-06-26,314.850006,330.549988,307.000000,330.549988,330.549988,25519
2023-06-27,345.000000,345.000000,332.000000,334.950012,334.950012,10141
2023-06-28,null,null,null,null,null,null
2023-06-30,339.950012,346.000000,322.350006,342.899994,342.899994,9911
2023-07-03,354.899994,354.899994,338.000000,340.049988,340.049988,13616
2023-07-04,340.049988,350.350006,333.799988,337.600006,337.600006,7997
2023-07-05,343.000000,353.500000,333.049988,345.149994,345.149994,19888
2023-07-06,350.000000,358.399994,332.500000,354.450012,354.450012,23184
