Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,1128.000000,1164.500000,1123.750000,1147.800049,1147.800049,1019748
2023-06-06,1148.000000,1199.949951,1135.000000,1191.250000,1191.250000,1883662
2023-06-07,1198.000000,1216.500000,1152.000000,1158.599976,1158.599976,915267
2023-06-08,1161.099976,1173.800049,1142.449951,1154.000000,1154.000000,478071
2023-06-09,1160.000000,1181.900024,1133.550049,1151.349976,1151.349976,838258
2023-06-12,1156.050049,1162.099976,1137.750000,1139.949951,1139.949951,297681
2023-06-13,1143.500000,1148.650024,1114.000000,1117.800049,1117.800049,423719
2023-06-14,1123.550049,1128.849976,1096.650024,1105.300049,1105.300049,375547
2023-06-15,1107.800049,1151.000000,1107.800049,1130.400024,1130.400024,851554
2023-06-16,1137.099976,1199.150024,1130.750000,1179.050049,1179.050049,1857664
2023-06-19,1187.800049,1239.000000,1185.449951,1196.150024,1196.150024,1414322
2023-06-20,1202.000000,1230.800049,1180.250000,1212.849976,1212.849976,853751
2023-06-21,1215.900024,1247.000000,1169.550049,1189.800049,1189.800049,1426565
2023-06-22,1194.000000,1207.599976,1164.599976,1171.150024,1171.150024,386168
2023-06-23,1171.150024,1183.750000,1095.550049,1103.949951,1103.949951,1036214
2023-06-26,1100.000000,1107.000000,1062.949951,1093.400024,1093.400024,919071
2023-06-27,1097.000000,1114.000000,1076.000000,1085.000000,1085.000000,672288
2023-06-28,1085.000000,1085.000000,1085.000000,1085.000000,1085.000000,0
2023-06-30,1099.000000,1126.000000,1081.349976,1120.250000,1120.250000,455745
2023-07-03,1126.400024,1133.000000,1105.550049,1117.849976,1117.849976,481430
2023-07-04,1118.000000,1125.000000,1102.900024,1105.150024,1105.150024,193103
2023-07-05,1107.300049,1131.000000,1102.050049,1127.199951,1127.199951,597402
2023-07-06,1127.199951,1135.849976,1107.000000,1115.800049,1115.800049,393140
