Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,34.349998,36.599998,33.150002,35.849998,35.849998,1310818
2023-06-06,37.000000,37.700001,34.200001,36.700001,36.700001,864180
2023-06-07,37.000000,37.500000,34.900002,34.900002,34.900002,94514
2023-06-08,33.150002,33.150002,33.150002,33.150002,33.150002,33083
2023-06-09,31.500000,34.450001,31.500000,31.500000,31.500000,303551
2023-06-12,31.500000,32.400002,29.950001,29.950001,29.950001,170509
2023-06-13,29.950001,31.400000,28.450001,31.400000,31.400000,249291
2023-06-14,32.700001,32.700001,30.150000,30.600000,30.600000,98940
2023-06-15,31.500000,31.500000,29.100000,29.100000,29.100000,114638
2023-06-16,29.799999,30.400000,27.750000,28.150000,28.150000,85880
2023-06-19,28.600000,29.549999,27.750000,29.350000,29.350000,78070
2023-06-20,30.500000,30.500000,29.000000,29.600000,29.600000,67406
2023-06-21,30.350000,30.350000,28.500000,29.000000,29.000000,56885
2023-06-22,28.900000,28.950001,28.000000,28.000000,28.000000,61634
2023-06-23,28.000000,28.000000,27.400000,27.850000,27.850000,27339
2023-06-26,27.950001,29.200001,27.900000,29.049999,29.049999,39559
2023-06-27,29.049999,29.500000,28.500000,28.750000,28.750000,22137
2023-06-28,null,null,null,null,null,null
2023-06-30,27.350000,28.500000,27.350000,27.600000,27.600000,57881
2023-07-03,27.700001,28.799999,26.500000,26.850000,26.850000,90836
2023-07-04,26.850000,28.000000,26.200001,27.100000,27.100000,57764
2023-07-05,27.450001,27.450001,26.200001,26.750000,26.750000,49210
2023-07-06,26.350000,27.049999,26.350000,26.850000,26.850000,35156
