Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,798.200012,804.549988,792.400024,798.349976,793.216797,1708483
2023-06-06,799.099976,804.049988,796.450012,802.500000,797.340149,730992
2023-06-07,803.000000,810.400024,799.049988,808.450012,803.251892,992533
2023-06-08,812.000000,830.000000,810.500000,818.000000,812.740479,1857339
2023-06-09,820.000000,821.650024,812.000000,815.599976,810.355896,577794
2023-06-12,817.549988,826.000000,814.299988,824.950012,819.645813,931494
2023-06-13,827.400024,831.849976,822.599976,829.599976,824.265869,725398
2023-06-14,830.750000,831.900024,822.150024,828.000000,822.676208,346936
2023-06-15,828.150024,832.000000,820.250000,822.849976,817.559265,506666
2023-06-16,824.400024,841.700012,824.349976,837.849976,832.462830,1044724
2023-06-19,837.950012,845.700012,822.950012,825.549988,820.241943,1579210
2023-06-20,827.000000,828.799988,812.150024,817.599976,812.343018,1690477
2023-06-21,821.900024,824.000000,809.549988,813.799988,808.567444,1120347
2023-06-22,817.450012,827.650024,811.299988,814.950012,809.710083,794796
2023-06-23,816.799988,818.700012,801.650024,807.000000,801.811218,522363
2023-06-26,807.150024,818.900024,799.799988,815.299988,810.057800,767301
2023-06-27,819.950012,823.750000,811.000000,819.750000,814.479248,578957
2023-06-28,819.750000,819.750000,819.750000,819.750000,814.479248,0
2023-06-30,817.000000,843.000000,817.000000,836.799988,831.419617,1418152
2023-07-03,843.950012,843.950012,832.049988,840.599976,835.195129,700921
2023-07-04,843.000000,846.799988,833.000000,837.099976,831.717651,511943
2023-07-05,837.000000,857.700012,832.200012,854.799988,849.303833,1489107
2023-07-06,859.000000,859.250000,849.000000,855.400024,849.900024,758345
