Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,221.500000,229.649994,208.000000,210.750000,210.750000,23225
2023-06-06,214.899994,224.949997,210.100006,217.500000,217.500000,34431
2023-06-07,221.850006,222.000000,209.300003,211.550003,211.550003,11748
2023-06-08,213.899994,217.449997,205.550003,210.199997,210.199997,8724
2023-06-09,211.850006,217.899994,206.100006,207.199997,207.199997,7301
2023-06-12,207.199997,213.250000,202.399994,204.649994,204.649994,7389
2023-06-13,209.399994,211.449997,203.000000,204.949997,204.949997,8878
2023-06-14,205.000000,230.050003,204.399994,223.600006,223.600006,54183
2023-06-15,225.800003,225.800003,216.399994,218.949997,218.949997,7440
2023-06-16,219.750000,224.500000,217.350006,218.500000,218.500000,9197
2023-06-19,216.000000,224.000000,215.149994,220.699997,220.699997,11947
2023-06-20,226.000000,227.050003,213.300003,223.899994,223.899994,16945
2023-06-21,226.250000,227.149994,221.100006,223.100006,223.100006,6312
2023-06-22,227.600006,228.500000,218.350006,222.300003,222.300003,8673
2023-06-23,222.399994,224.449997,218.100006,219.000000,219.000000,3564
2023-06-26,219.000000,223.800003,215.699997,222.100006,222.100006,8341
2023-06-27,227.000000,227.000000,220.649994,224.949997,224.949997,5879
2023-06-28,224.949997,224.949997,224.949997,224.949997,224.949997,0
2023-06-30,235.000000,239.300003,230.000000,231.050003,231.050003,16153
2023-07-03,236.949997,236.949997,223.649994,225.350006,225.350006,9805
2023-07-04,234.000000,234.000000,214.100006,214.300003,214.300003,7976
2023-07-05,214.300003,217.600006,206.000000,207.850006,207.850006,8291
2023-07-06,211.000000,212.000000,206.000000,209.699997,209.699997,3330
