Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,4.600000,4.600000,4.400000,4.450000,4.450000,193899
2023-06-06,4.500000,4.500000,4.350000,4.400000,4.400000,165934
2023-06-07,4.350000,4.400000,4.300000,4.350000,4.350000,296565
2023-06-08,4.400000,4.550000,4.300000,4.500000,4.500000,212951
2023-06-09,4.550000,4.550000,4.450000,4.500000,4.500000,184072
2023-06-12,4.500000,4.500000,4.350000,4.400000,4.400000,261631
2023-06-13,4.400000,4.550000,4.350000,4.550000,4.550000,166796
2023-06-14,4.600000,4.600000,4.450000,4.500000,4.500000,325822
2023-06-15,4.550000,4.550000,4.450000,4.500000,4.500000,148148
2023-06-16,4.500000,4.550000,4.500000,4.500000,4.500000,144275
2023-06-19,4.500000,4.550000,4.450000,4.550000,4.550000,118030
2023-06-20,4.500000,4.550000,4.350000,4.450000,4.450000,219068
2023-06-21,4.500000,4.500000,4.450000,4.450000,4.450000,98648
2023-06-22,4.450000,4.500000,4.350000,4.400000,4.400000,164701
2023-06-23,4.450000,4.500000,4.400000,4.450000,4.450000,100032
2023-06-26,4.450000,4.450000,4.350000,4.400000,4.400000,118122
2023-06-27,4.400000,4.450000,4.350000,4.450000,4.450000,93416
2023-06-28,null,null,null,null,null,null
2023-06-30,4.450000,4.500000,4.300000,4.400000,4.400000,174933
2023-07-03,4.450000,4.450000,4.250000,4.350000,4.350000,241694
2023-07-04,4.450000,4.500000,4.350000,4.450000,4.450000,189762
2023-07-05,4.500000,4.500000,4.350000,4.450000,4.450000,132669
2023-07-06,4.450000,4.550000,4.400000,4.450000,4.450000,164985
