Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,720.775024,724.375000,713.500000,720.650024,720.650024,120134
2023-06-06,716.099976,727.625000,716.099976,725.525024,725.525024,71424
2023-06-07,726.150024,736.825012,725.099976,733.775024,733.775024,101486
2023-06-08,736.500000,736.549988,723.700012,730.000000,730.000000,142506
2023-06-09,735.000000,739.500000,724.900024,729.075012,729.075012,98332
2023-06-12,730.474976,746.500000,725.575012,744.424988,744.424988,221216
2023-06-13,1492.849976,1520.550049,1486.000000,1518.400024,1518.400024,209669
2023-06-14,763.500000,777.450012,757.474976,769.099976,769.099976,371568
2023-06-15,774.950012,775.000000,748.500000,762.974976,762.974976,387306
2023-06-16,765.000000,773.875000,750.000000,764.825012,764.825012,386576
2023-06-19,780.000000,780.000000,759.525024,762.599976,762.599976,249116
2023-06-20,780.000000,804.400024,770.150024,790.200012,790.200012,521875
2023-06-21,795.000000,808.950012,783.049988,800.299988,800.299988,168405
2023-06-22,800.299988,804.000000,785.250000,794.049988,794.049988,425801
2023-06-23,798.299988,820.000000,771.150024,785.849976,785.849976,331722
2023-06-26,780.000000,794.099976,779.150024,786.500000,786.500000,245359
2023-06-27,784.500000,797.700012,773.299988,779.450012,779.450012,241129
2023-06-28,779.450012,779.450012,779.450012,779.450012,779.450012,0
2023-06-30,768.299988,784.950012,758.000000,767.099976,767.099976,152483
2023-07-03,770.049988,782.000000,765.000000,767.349976,767.349976,106669
2023-07-04,769.450012,776.950012,762.049988,774.799988,774.799988,187308
2023-07-05,777.000000,792.650024,773.349976,788.400024,788.400024,177966
2023-07-06,792.799988,792.900024,783.400024,790.200012,790.200012,121605
