Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,99.000000,99.000000,91.500000,95.250000,95.250000,650
2023-06-06,100.000000,100.000000,90.500000,92.300003,92.300003,305
2023-06-07,94.050003,94.050003,92.349998,93.050003,93.050003,37
2023-06-08,93.599998,93.599998,90.500000,90.650002,90.650002,150
2023-06-09,90.699997,92.900002,88.000000,90.000000,90.000000,751
2023-06-12,94.449997,94.449997,90.000000,91.099998,91.099998,90
2023-06-13,90.000000,90.000000,87.000000,87.050003,87.050003,208
2023-06-14,91.400002,91.400002,87.050003,87.050003,87.050003,43
2023-06-15,90.150002,90.199997,82.750000,85.800003,85.800003,198
2023-06-16,85.800003,87.949997,81.550003,82.250000,82.250000,1368
2023-06-19,86.300003,86.300003,81.500000,84.150002,84.150002,1112
2023-06-20,83.900002,84.000000,81.250000,83.250000,83.250000,180
2023-06-21,83.250000,87.400002,81.050003,83.500000,83.500000,810
2023-06-22,87.550003,87.550003,85.000000,85.000000,85.000000,281
2023-06-23,85.050003,85.050003,80.750000,81.900002,81.900002,1248
2023-06-26,85.750000,85.750000,81.099998,82.050003,82.050003,153
2023-06-27,81.900002,82.050003,81.900002,82.050003,82.050003,21
2023-06-28,null,null,null,null,null,null
2023-06-30,85.000000,85.000000,80.000000,82.000000,82.000000,367
2023-07-03,82.050003,82.050003,77.900002,77.900002,77.900002,2968
2023-07-04,77.900002,81.699997,74.000000,74.000000,74.000000,1477
2023-07-05,70.300003,70.300003,70.300003,70.300003,70.300003,3644
2023-07-06,66.800003,66.800003,66.800003,66.800003,66.800003,23924
