Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,62.099998,62.799999,61.000000,61.400002,61.400002,22656
2023-06-06,61.799999,63.400002,61.400002,62.549999,62.549999,31694
2023-06-07,62.950001,66.000000,62.299999,64.449997,64.449997,74124
2023-06-08,64.849998,67.900002,63.049999,65.400002,65.400002,75303
2023-06-09,65.500000,65.800003,62.099998,63.000000,63.000000,33474
2023-06-12,63.900002,64.800003,62.299999,62.799999,62.799999,33580
2023-06-13,63.099998,63.750000,61.799999,62.400002,62.400002,26843
2023-06-14,63.500000,63.549999,61.900002,62.250000,62.250000,19819
2023-06-15,63.400002,65.949997,63.000000,64.750000,64.750000,64505
2023-06-16,64.750000,76.500000,64.699997,70.550003,70.550003,313088
2023-06-19,71.400002,83.500000,70.949997,81.050003,81.050003,832488
2023-06-20,81.599998,82.800003,79.449997,80.349998,80.349998,186738
2023-06-21,80.949997,84.800003,79.000000,80.349998,80.349998,116364
2023-06-22,80.900002,81.449997,74.800003,75.150002,75.150002,68912
2023-06-23,75.550003,75.550003,72.800003,73.250000,73.250000,27421
2023-06-26,75.650002,77.250000,73.800003,74.199997,74.199997,31418
2023-06-27,75.900002,77.000000,75.000000,75.300003,75.300003,23541
2023-06-28,75.300003,75.300003,75.300003,75.300003,75.300003,0
2023-06-30,77.900002,79.449997,76.000000,78.550003,78.550003,38165
2023-07-03,78.599998,78.599998,76.250000,76.500000,76.500000,58169
2023-07-04,77.900002,78.449997,77.050003,77.750000,77.750000,36629
2023-07-05,77.050003,78.949997,75.250000,76.150002,76.150002,19792
2023-07-06,76.150002,78.000000,76.150002,76.300003,76.300003,15688
