Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,576.450012,582.500000,573.049988,576.700012,576.700012,826948
2023-06-06,575.750000,578.950012,560.200012,565.799988,565.799988,711459
2023-06-07,568.650024,574.900024,564.450012,565.549988,565.549988,589958
2023-06-08,567.400024,570.349976,556.500000,558.799988,558.799988,548519
2023-06-09,561.000000,562.950012,552.000000,554.450012,554.450012,318148
2023-06-12,556.000000,575.400024,551.450012,570.400024,570.400024,1087134
2023-06-13,573.299988,574.950012,559.000000,562.950012,562.950012,869908
2023-06-14,565.000000,573.400024,564.650024,570.500000,570.500000,854661
2023-06-15,573.299988,583.000000,569.799988,573.950012,573.950012,1312119
2023-06-16,575.000000,580.650024,570.000000,572.250000,572.250000,877221
2023-06-19,575.150024,576.400024,567.000000,568.799988,568.799988,464900
2023-06-20,568.950012,574.500000,565.000000,571.900024,571.900024,499557
2023-06-21,571.900024,582.500000,570.950012,572.150024,572.150024,727557
2023-06-22,586.000000,611.299988,585.250000,603.250000,603.250000,6892513
2023-06-23,603.950012,619.950012,596.000000,608.549988,608.549988,3913090
2023-06-26,611.000000,611.849976,589.000000,596.750000,596.750000,1340671
2023-06-27,599.500000,604.900024,593.599976,600.400024,600.400024,896190
2023-06-28,600.400024,600.400024,600.400024,600.400024,600.400024,0
2023-06-30,617.400024,617.650024,606.099976,608.549988,608.549988,823750
2023-07-03,611.799988,675.000000,611.750000,669.400024,669.400024,10154700
2023-07-04,672.500000,685.000000,662.000000,672.799988,672.799988,5150434
2023-07-05,673.000000,685.000000,666.200012,680.349976,680.349976,2322986
2023-07-06,683.000000,710.650024,671.500000,705.500000,705.500000,9826996
